PID	mtc_mock_even_lc
PWY-6537	1
KDO-LIPASYN-PWY	3
PWY-6535	1
PWY-6530	1
GLYOXYLATE-BYPASS	3
RXN0-5268	1
NADH-DEHYDROG-A-RXN	2
ARABCAT-PWY	7
12DICHLORETHDEG-PWY	2
PWY0-1182	1
SERDEG-PWY	14
P163-PWY	10
RIBOSYN2-PWY	17
PWY-1722	1
PWY-561	2
PWY-6075	1
NARX-PWY	1
PWY-841	16
PWY0-301	3
MALTOSECAT-PWY	4
PWY0-823	4
PWY-5372	1
ECASYN-PWY	1
PWY-6213	3
PWY-2361	1
PWY-5074	4
PWY-5921	10
PWY-2161	14
THREONINE-DEG2-PWY	7
PYRIDNUCSYN-PWY	16
PEPTIDOGLYCANSYN-PWY	18
METHFORM-PWY	1
RUMP-PWY	1
PWY-5194	8
GLUTDEG-PWY	9
PPGPPMET-PWY	17
LACTOSECAT-PWY	5
PWY-5757	2
PWY-5755	1
PWY-3162	2
PWY-3161	1
PWY-5751	5
RIBOKIN-PWY	9
PWY-6287	2
PWY-6282	2
PWY-1861	1
PWY-5686	18
PWY-5687	16
THISYN-PWY	18
PWY-6089	1
PWY-6087	4
GAMMAHEXCHLORDEG-PWY	1
PWY-2942	3
PWY-6080	1
PWY0-1348	1
PYRUVOX-PWY	3
PWY0-1221	1
COLANSYN-PWY	5
NARQ-PWY	1
GLUTAMINDEG-PWY	8
PCPDEG-PWY	1
ORN-AMINOPENTANOATE-CAT-PWY	3
GLYCOLYSIS-E-D	5
NRI-PWY	1
4AMINOBUTMETAB-PWY	1
CARNMET-PWY	1
MENAQUINONESYN-PWY	3
PROUT-PWY	6
PWY-6038	2
PWY-6039	1
KETOGLUCONMET-PWY	2
PWY4FS-2	2
GLUCONEO-PWY	19
ORNDEG-PWY	1
PWY4FS-8	13
GLUTSYN-PWY	11
GLUCUROCAT-PWY	8
PWY0-1319	4
CITRULLINE-DEG-PWY	11
PWY-622	3
PWY-5030	1
PWY-5965	15
PWY-5964	2
PWY-5966	15
LIPAS-PWY	4
PWY-5963	1
PWY-1001	7
KDOSYN-PWY	4
DENITRIFICATION-PWY	1
PWY-6105	1
PWY0-1474	1
PWY0-1021	6
PWY-5530	1
PWY-5531	9
PWY-5536	1
PWY-5535	4
PWY-5538	1
NONOXIPENT-PWY	18
PWY-3941	1
PWY0-501	9
